learned	on'yomi	on'yomi kana	kun'yomi	kun'yomi kana	meaning	ref_sh_kk
383	ETSU	エツ	ko(su), ko(eru)	こ(す), こ(える)	cross, go over, exceed	1001
384	SHOU	ショウ	wara(u), e(mu)	わら(う), え(む)	laugh, smile	1235
385	SEN	セン	era(bu)	えら(ぶ)	choose, select	800
386	EN	エン	sono	その	garden	447
387	EN	エン	shio	しお	salt	1101
388	EN	エン			act, perform, play	344
389	EN	エン	no(biru), no(beru), no(basu)	の(びる), の(べる), の(ばす)	postpone, prolong	1115
390	EN	エン	kemuri, kemu(ru), kemu(i)	けむり, けむ(る), けむ(い)	smoke	919
391	SHO, CHO	ショ, チョ	o	お	beginning, cord, thong	862
392	O	オ	kitana(i), kega(su), yogo(su)	きたな(い), けが(す), よご(す)	dirty, soiled	693
393	WA, O	ワ, オ	yawa(ragu), nago(mu)	やわ(らぐ), なご(む)	peace, harmony, Japanese	124
394	ROU	ロウ	o(iru), fu(keru)	お(いる), ふ(ける)	grow old	543
395	FU	フ	ma(keru), ma(kasu), o(u)	ま(ける), ま(かす), お(う)	lose, beat, defeat	510
396	TSUI	ツイ	o(u)	お(う)	chase, pursue	1174
397	OU	オウ			king	294
398	OU, KOU	オウ, コウ	ki, ko	き, こ	yellow	780
399	OU	オウ			center, middle	351
400	OU	オウ	yoko	よこ	beside, side, width	781
401	OU	オウ			Europe	1022
402	OU	オウ	o(su), o(saeru)	お(す), お(さえる)	push	986
403	OU	オウ	oku	おく	interior, depths	476
404	HAN	ハン	oka(su)	おか(す)	commit, violate	882
405	HAI	ハイ	oga(mu)	おが(む)	worship, pray	1201
406	HO	ホ	ogina(u)	おぎな(う)	supply, compensate	889
407	CHI	チ	o(ku)	お(く)	put, place	426
408	OKU	オク			hundred million	382
409	CHI	チ	oso(i), oku(reru), oku(rasu)	おそ(い), おく(れる), おく(らす)	late, slow	702
410	ZOU, SOU	ゾウ, ソウ	oku(ru)	おく(る)	give, present	1364
411	YOU	ヨウ	osana(i)	おさな(い)	very young, childish (12ura29)	1229
412	JI, CHI	ジ, チ	osa(meru), osa(maru), nao(ru), nao(su)	おさ(める), おさ(まる), なお(る), なお(す)	govern, rule, cure	493
413	SHUU	シュウ	osa(meru), osa(maru)	おさ(める), おさ(まる)	obtain, collect	757
414	KYOU	キョウ	oso(reru), oso(roshii)	おそ(れる), おそ(ろしい)	fear, terrible, awful	1602
415	RAKU	ラク	o(chiru), o(tosu)	お(ちる), お(とす)	fall, drop	839
416	FU, FUU	フ, フウ	otto	おっと	husband	315
417	HOU	ホウ	tazu(neru), otozu(reru)	たず(ねる), おとず(れる)	visit	1181
418	YOU	ヨウ	odo(ru), odo(ri)	おど(る), おど(り)	dance	1558
419	KAKU	カク	onoono	おのおの	each, every	642
420	TAI	タイ	obi, o(biru)	おび, お(びる)	belt, region, wear	963
421	KAKU	カク	obo(eru), sa(meru), sa(masu)	おぼ(える), さ(める), さ(ます)	remember, learn, awake	605
422	MEN	メン	omo, omote, tsura	おも, おもて, つら	face, mask, surface	274
423	SETSU	セツ	o(ru), o(reru), ori	お(る), お(れる), おり	break, fold, bend	1394
424	KOU	コウ	o(riru), o(rosu), fu(ru)	お(りる), お(ろす), ふ(る)	fall, come down	947
425	GYO, GO	ギョ, ゴ	on	おん	(honorific prefix)	708
426	KOU, KYOU	コウ, キョウ	ka, kao(ri), kao(ru)	か, かお(り), かお(る)	fragrance, aroma	1684
427	KA	カ			department, course	320
428	KA, KE	カ, ケ	ba(keru), ba(kasu)	ば(ける), ば(かす)	change, bewitch	254
429	BAN	バン			number, order, watch	185
430	KA	カ	ni	に	load, cargo	391
431	KA	カ	kuwa(eru), kuwa(waru)	くわ(える), くわ(わる)	add, join	709
432	KA	カ	ha(tasu), ha(teru), ha(te)	は(たす), は(てる), は(て)	fruit, end, result	487
433	KA	カ			freight, goods, money	752
434	KA	カ			lesson, section	488
435	KA	カ			possible, approve	388
436	KA	カ	kawa	かわ	river	389
437	KA	カ			confectionery, cake	1535
438	KA	カ	kutsu	くつ	shoes	1076
439			kai	かい	shellfish	240
440	KAI	カイ			stair, floor, story	588
441	KAI	カイ			machine	529
442	KAI	カイ	kokoroyo(i)	こころよ(い)	pleasant	1409
443	KAI, GE	カイ, ゲ	to(ku), to(keru), to(kasu)	と(く), と(ける), と(かす)	solve, untie	474
444	KAI	カイ	hai	はい	ashes	1343
445	KAI	カイ			mediate	453
446	KAI	カイ	mina	みな	all, everyone, everybody	587
447	GAI	ガイ			harm, injury, damage	518
448	KOU	コウ	ma(jiru), maji(waru), ka(u)	ま(じる), まじ(わる), か(う)	exchange, mix, associate	114
449	HEN	ヘン	kae(su), kae(ru)	かえ(す), かえ(る)	return	442
450	SEI, SHOU	セイ, ショウ	kaeri(miru), habu(ku)	かえり(みる), はぶ(く)	ministry, omit	145
451	HEN	ヘン	ka(waru), ka(eru)	か(わる), か(える)	change, strange	257
452	TAI	タイ	ka(eru), ka(waru)	か(える), か(わる)	replace	744
453	KAN	カン	ka(eru), ka(waru)	か(える), か(わる)	exchange, replace	1586
454	KEI	ケイ	kaka(ru), kakari	かか(る), かかり	charge, concern	909
455			ka(keru), ka(karu), kakari	か(ける), か(かる), かかり	hang, spend, multiply	1464
456	GEN	ゲン	kagi(ru)	かぎ(る)	limit	847
457	KETSU	ケツ	ka(ku), ka(keru)	か(く), か(ける)	lack	383
458	KAKU	カク	kado, tsuno	かど, つの	angle, corner, horn	473
459	KAKU, KYAKU	カク, キャク			guest, customer	641
460	KAKU, KOU	カク, コウ			status, rank, case	643
461	KAKU	カク	tashi(ka), tashi(kameru)	たし(か), たし(かめる)	certain	603
462	KAKU	カク	kawa	かわ	reform, leather	1075
463	GAKU	ガク	hitai	ひたい	amount, forehead	838
464	KEN	ケン	kashiko(i)	かしこ(い)	wise, intelligent	1288
465	SUU, SU	スウ, ス	kazu, kazo(eru)	かず, かぞ(える)	number, count	225
466	KEI, GYOU	ケイ, ギョウ	katachi, kata	かたち, かた	form, shape	395
467	KEI	ケイ	kata	かた	model, form, type	888
468	HEN	ヘン	kata	かた	one side, fragment	1045
469	KEN	ケン	kata	かた	shoulder	1264
470	KO	コ	kata(i), kata(maru), kata(meru)	かた(い), かた(まる), かた(める)	hard, solid, firm	972
471	NAN	ナン	kata(i), muzuka(shii)	かた(い), むずか(しい)	difficult, disaster	557
472	KOU	コウ	kata(i)	かた(い)	hard, solid, firm	1009
473	KEN	ケン	kata(i)	かた(い)	hard, solid, firm	1289
474	KEI	ケイ	katamu(ku), katamu(keru)	かたむ(く), かたむ(ける)	lean, incline	1441
475	SHOU	ショウ	ka(tsu), masa(ru)	か(つ), まさ(る)	win, excel	509
476	KATSU	カツ			life, activity	237
477	KATSU	カツ	wa(ru), wa(reru), wari, sa(ku)	わ(る), わ(れる), わり, さ(く)	divide, break, rate	519
478	TAN	タン	katsu(gu), nina(u)	かつ(ぐ), にな(う)	bear, shoulder, trick	1274
479	HI	ヒ	kana(shii), kana(shimu)	かな(しい), かな(しむ)	sad, lament	1034
480	HITSU	ヒツ	kanara(zu)	かなら(ず)	surely, invariably	520
481	HI	ヒ	kare, kano	かれ, かの	he, that	977
482	KOU	コウ	kama(u), kama(eru)	かま(う), かま(える)	structure, posture, mind	1010
483	SHIN, JIN	シン, ジン	kami, kan, kou	かみ, かん, こう	god	310
484	HATSU	ハツ	kami	かみ	hair	1148
485	SHIN	シン	kara(i)	から(い)	hot, spicy, hard	1487
486	KO	コ	ka(reru), ka(rasu)	か(れる), か(らす)	wither	974
487	RAKU	ラク	kara(mu), kara(maru)	から(む), から(まる)	entwine	840
488	HI	ヒ	kawa	かわ	skin	975
489	SOKU	ソク	kawa	かわ	side	609
490	KAN	カン	kawa(ku), kawa(kasu)	かわ(く), かわ(かす)	dry, parch	1190
491	KAN	カン			feeling, sensation	262
492	KAN	カン			complete, perfect	613
493	KAN	カン			government	326
494	KAN	カン	kuda	くだ	pipe, tube, control	328
495	KAN	カン	seki	せき	concern, barrier	398
496	KAN	カン			appearance, view	604
497	KAN	カン			publish	585
498	KAN	カン	na(reru), na(rasu)	な(れる), な(らす)	custom, habit	915
499	KAN	カン	hi(ru), ho(su)	ひ(る), ほ(す)	dry	584
500	KAN	カン	ma(ku), maki	ま(く), まき	roll, volume	507
501	KAN	カン			simple	1533
502	KAN	カン			can	1649
503	KAN	カン	wazura(u)	わずら(う)	illness, suffer	1315
504	GAN	ガン	maru, maru(i), maru(meru)	まる, まる(い), まる(める)	round	644
505	SETSU	セツ	yuki	ゆき	snow	949
506	SEI	セイ	ha(reru), ha(rasu)	は(れる), は(らす)	clear, fair	662
507	RYOU	リョウ	suzu(shii), suzu(mu)	すず(しい), すず(む)	cool, refreshing	1204
508	KI	キ			season	465
509	SETSU, SECHI	セツ, セチ	fushi	ふし	time, season, paragraph	464
510	GAN	ガン	kishi	きし	shore, coast	586
511	YO	ヨ			previously, in advance	393
512	TEI, JOU	テイ, ジョウ	sada(meru), sada(maru), sada(ka)	さだ(める), さだ(まる), さだ(か)	decide, determine	355
513	YAKU	ヤク			approximately, promise	211
514	MATSU	マツ	sue	すえ	end	305
515	TATSU, DACHI	タツ, ダチ	tachi	たち	reach, gain, achieve	448
516	GAN	ガン	nega(u)	ねが(う)	wish, desire, request	581
517	KOU	コウ	ooyake	おおやけ	public, official	126
518	YOU	ヨウ	ha	は	leaf, foliage	253
519	FUTSU	フツ	hara(u)	はら(う)	pay, sweep away	582
520	HAKU	ハク	to(maru), to(meru)	と(まる), と(める)	lodge, stay	1177
521	CHOU	チョウ	shira(beru), totono(u), totono(eru)	しら(べる), ととの(う), ととの(える)	investigate, check, prepare	342
522	TAN	タン	sagu(ru), saga(su)	さぐ(る), さが(す)	search, look for	535
523	GAN	ガン	fuku(mu), fuku(meru)	ふく(む), ふく(める)	contain, include, hold	1249
524	KI	キ	shiru(su)	しる(す)	write/note down	371
525	KI, GO	キ, ゴ			time, period, term	449
526	KI	キ			hope, rare	676
527	KI	キ	yoroko(bu)	よろこ(ぶ)	joy, delight	1143
528	KI	キ	hata	はた	opportunity, machine, loom	528
529	KI	キ			rule, standard	607
530	KI	キ	yo(ru), yo(seru)	よ(る), よ(せる)	approach, meet, gather	1361
531	KI	キ	tsukue	つくえ	desk	1305
532	GI	ギ			consult, discuss	292
533	SHIN	シン	ne(ru), ne(kasu)	ね(る), ね(かす)	go to bed, sleep	1079
534	SHU	シュ	to(ru)	と(る)	take	65
535	SHOU	ショウ	ke(su), ki(eru)	け(す), き(える)	extinguish, go out, disappear	845
536	RAI	ライ	tano(mu), tano(moshii), tayo(ru)	たの(む), たの(もしい), たよ(る)	request, ask, rely	1512
537	DEN	デン	tsuta(u), tsuta(eru), tsuta(waru)	つた(う), つた(える), つた(わる)	tell, report, transmit	434
538	ZAI	ザイ			material, talent	552
539	SHOU	ショウ	ya(ku), ya(keru)	や(く), や(ける)	burn, roast, bake	920
540	GI	ギ	waza	わざ	technique, skill	871
541	RI	リ	ki(ku)	き(く)	advantage, profit	329
542	KOU	コウ	ki(ku)	き(く)	effect, efficient	816
543	CHOU	チョウ	kiza(shi), kiza(su)	きざ(し), きざ(す)	sign, symptom, trillion	1562
544	KOKU	コク	kiza(mu)	きざ(む)	cut, chop, engrave	1211
545	CHIKU	チク	kizu(ku)	きず(く)	build, construct, erect	1603
546	KYOU, KEI	キョウ, ケイ	kiso(u), se(ru)	きそ(う), せ(る)	compete, vie	852
547	SHUKU	シュク	yado, yado(ru), yado(su)	やど, やど(る), やど(す)	lodging, inn, shelter	179
548	HOU, HAtsu	ホウ, ハツ			law	123
549	JU	ジュ	sazu(keru), sazu(karu)	さず(ける), さず(かる)	grant, teach	602
550	YUU	ユウ			mail	524
551	KYOKU	キョク			bureau, office	170
552	BU	ブ			part, section	86
553	GOU	ゴウ			number, title	266
554	BOU	ボウ	wasu(reru)	わす(れる)	forget	1374
555	SOTSU	ソツ			soldier, end	787
556	HOU	ホウ	tsutsu(mu)	つつ(む)	wrap, pack	804
557	RYOU	リョウ			both	200
558	KYOU, KU	キョウ, ク	tomo, sona(eru)	とも, そな(える)	attendant, offer	197
559	KOU	コウ			navigation	823
560	KITSU	キツ			eat, drink, smoke	1240
561	KITSU	キツ	tsu(mu), tsu(meru), tsu(maru)	つ(む), つ(める), つ(まる)	cram, shorten	1142
562	KETSU	ケツ	ki(meru), ki(maru)	き(める), き(まる)	decide	356
563	KUN	クン	kimi	きみ	you, ruler	793
564	GYAKU	ギャク	saka, saka(rau)	さか, さか(らう)	reverse, opposite	444
565	KYUU	キュウ			grade, class	568
566	KYUU	キュウ	tama	たま	ball, sphere	726
567	KYUU	キュウ	moto(meru)	もと(める)	want, request, demand, seek	724
568	KYUU	キュウ	na(ku)	な(く)	cry	1236
569	KYUU	キュウ	suku(u)	すく(う)	rescue, save	725
570	KYUU	キュウ			supply	346
571	REN	レン	ne(ru)	ね(る)	knead, train, polish	743
572	SEI, JOU	セイ, ジョウ	shizu(ka), shizu(maru), shizu(meru)	しず(か), しず(まる), しず(める)	quite, peaceful	663
573	KETSU	ケツ	musu(bu), yu(u), yu(wau)	むす(ぶ), ゆ(う), ゆ(わう)	tie, bind, conclude	485
574	KON	コン			marriage	567
575	SHIKI	シキ			ceremony, style, method	525
576	HEI	ヘイ	shi(meru), shi(maru), to(jiru), to(zasu)	し(める), し(まる), と(じる), と(ざす)	close, shut	397
577	SHOU	ショウ	mane(ku)	まね(く)	summon, invite	455
578	RYUU, RU	リュウ, ル	to(maru), to(meru)	と(まる), と(める)	stay, fasten	761
579	KYUU, KU	キュウ, ク	hisa(shii)	ひさ(しい)	long time	1210
580	KYUU	キュウ			old, former	1216
581	KYUU	キュウ	su(u)	す(う)	inhale, suck, smoke	1256
582	KYO	キョ	yuru(su)	ゆる(す)	permit, pardon	737
583	SEI, SHOU	セイ, ショウ	kiyo(i), kiyo(maru), kiyo(meru)	きよ(い), きよ(まる), きよ(める)	pure, clean, clear	660
584	KYOU	キョウ	hashi	はし	bridge	597
585	KYOU	キョウ	tomo	とも	together, both	196
586	KYOU	キョウ			cooperate	234
587	KEI, KYOU	ケイ, キョウ	he(ru)	へ(る)	longitude, pass, elapse	548
588	KYOU, KEI	キョウ, ケイ	sakai	さかい	boundary	864
589	KYOU	キョウ	mune, muna	むね, むな	breast, chest	1283
590	KYOU	キョウ	sake(bu)	さけ(ぶ)	shout, cry out	1252
591	KYOU	キョウ			conditions, situation	850
592	KYOU	キョウ	sema(i), seba(maru), seba(meru)	せま(い), せば(まる), せば(める)	narrow, small	1353
593	KYOU	キョウ	hasa(mu), hasa(maru)	はさ(む), はさ(まる)	put between, insert	1354
594	KYOKU	キョク	ma(garu), ma(geru)	ま(がる), ま(げる)	music, melody, bend, curve	366
595	KOU	コウ	mu(ku), mu(keru), mu(kau), mu(kou)	む(く), む(ける), む(かう), む(こう)	face, turn, opposite	199
596	RYOKU, ROKU	リョク, ロク	midori	みどり	green	537
597	TO	ト	wata(ru), wata(su)	わた(る), わた(す)	cross, hand over	378
598	SA	サ	sa(su)	さ(す)	difference	658
599	KYOKU, GOKU	キョク, ゴク	kiwa(meru), kiwa(maru), kiwa(mi)	きわ(める), きわ(まる), きわ(み)	extreme, pole	336
600	GYOKU	ギョク	tama	たま	gem, jewel, sphere	295
601	SAI	サイ	kiwa	きわ	edge, occasion	618
602	KIN	キン			equal, even	805
603	KIN	キン			prohibit	482
604	TEN	テン			point, dot	169
605	KIN, GON	キン, ゴン	tsuto(meru), tsuto(maru)	つと(める), つと(まる)	serve, work	559
606	KU	ク	kuru(shii), kuru(shimu), kuru(shimeru), niga(i), niga(ru)	くる(しい), くる(しむ), くる(しめる), にが(い), にが(る)	suffer, bitter, painful	545
607	KO, KU	コ, ク			storehouse	825
608	KOU, KU	コウ, ク	kurenai, beni	くれない, べに	crimson, rouge, lipstick	820
609	GU	グ			tool, ingredients	420
610	GUU	グウ			couple, even, accidental	1639
611	GUU	グウ	sumi	すみ	corner, nook	1640
612	SOU	ソウ	kusa	くさ	grass	249
613	KUTSU	クツ	ho(ru)	ほ(る)	dig	1803
614	HAI	ハイ	kuba(ru)	くば(る)	distribute, deliver	515
615	SO	ソ	kumi, ku(mu)	くみ, く(む)	class, crew, assemble	418
616	DON	ドン	kumo(ru)	くも(る)	cloudy	637
617	ZOU	ゾウ	kura	くら	warehouse, storehouse	1286
618	BO	ボ	ku(reru), ku(rasu)	く(れる), く(らす)	grow dark, live	1428
619	HI	ヒ	kura(beru)	くら(べる)	compare	798
620	KUN	クン			instruct, teach	771
621	GUN	グン			army, troops	438
622	GUN	グン	mu(re), mu(reru)	む(れ), む(れる)	group, crowd	794
623	MOU	モウ	ke	け	hair, fur, down	287
624	KEI	ケイ			view, scene	853
625	KEI	ケイ			admonish, warn	706
626	GEI	ゲイ			art, skill	435
627	GEI	ゲイ	muka(eru)	むか(える)	meet, welcome, invite	1055
628	GEKI	ゲキ			drama, play	797
629	KETSU	ケツ	chi	ち	blood	789
630	KEN	ケン	kewa(shii)	けわ(しい)	steep, severe	533
631	KEN	ケン			matter, affair, case	732
632	KEN	ケン			ticket, coupon, certificate	506
633	KEN	ケン			inspect, examine	531
634	KEN, GON	ケン, ゴン			authority, power, right	335
635	KEN	ケン	noki	のき	eaves	1187
636	GEN	ゲン	hara	はら	original, plain, field	136
637	GEN	ゲン	he(ru), he(rasu)	へ(る), へ(らす)	decrease, diminish	715
638	FUN	フン	ko, kona	こ, こな	flour, powder	1701
639	KO	コ	to	と	door	152
640	KO	コ	mizuumi	みずうみ	lake	467
641	KO	コ			individual	973
642	KO	コ	yo(bu)	よ(ぶ)	call, invite	1254
643	KO	コ	yato(u)	やと(う)	employ, hire	1553
644	GO	ゴ	taga(i)	たが(い)	mutual, each other	907
645	REN	レン	koi, koi(shii)	こい, こい(しい)	love, yearn	258
646	NOU	ノウ	ko(i)	こ(い)	thick, dark, strong	957
647	KOU	コウ	saiwa(i), sachi, shiawa(se)	さいわ(い), さち, しあわ(せ)	happiness, good fortune	684
648	KOU	コウ	minato	みなと	harbor, port	669
649	KOU	コウ	sourou	そうろう	season, weather, serve	944
650	KOU	コウ	tagaya(su)	たがや(す)	till, plow, cultivate	1196
651	KOU	コウ			ore, mine	1604
652	BYOU	ビョウ	neko	ねこ	cat	1469
653	ZATSU, ZOU	ザツ, ゾウ			miscellaneous, mix	575
654	SHI	シ			journal, magazine	574
655	JI	ジ	ya(meru)	や(める)	word, resign	688
656	SAKU	サク			past, yesterday	361
657	HA	ハ			group, faction, sect	912
658	TAN	タン			birth	1116
659	REI, RAI	レイ, ライ			courtesy, gratitude	620
660	YOKU	ヨク	hos(suru), ho(shii)	ほっ(する), ほ(しい)	greed, desire, want	1127
661	KOU	コウ			lecture, club	783
662	KOU	コウ	sara, fu(keru), fu(kasu)	さら, ふ(ける), ふ(かす)	anew, grow late	1008
663	KOU	コウ			assent, consent	1262
664	KOU	コウ			suburb, outskirts	817
665	HI	ヒ	koumu(ru), kabu(ru)	こうむ(る), かぶ(る)	suffer, receive	976
666	CHOU	チョウ	ko(su), ko(eru)	こ(す), こ(える)	super, surpass	1000
667	HYOU	ヒョウ	koori, hi	こおり, ひ	ice	1206
668	TOU	トウ	koo(ru), kogo(eru)	こお(る), こご(える)	freeze	1205
669	KOKU	コク	tani	たに	valley	653
670	KOKU	コク	tsu(geru)	つ(げる)	tell, inform	690
671	YOU	ヨウ	koshi	こし	loins, hips	1298
672	KOTSU	コツ	hone	ほね	bone	1266
673	DAN	ダン	kotowa(ru), ta(tsu)	ことわ(る), た(つ)	judgment, decline, cut off	1024
674	SAI	サイ	hoso(i), hoso(ru), koma(ka), koma(kai)	ほそ(い), ほそ(る), こま(か), こま(かい)	small, slender, fine	695
675	KON	コン	koma(ru)	こま(る)	be distressed	558
676			ko(mu), ko(meru)	こ(む), こ(める)	be crowded, include	776
677	BEI, MAI	ベイ, マイ	kome	こめ	rice, America	224
678	SATSU, SAI, SETSU	サツ, サイ, セツ	koro(su)	ころ(す)	kill	576
679	FU	フ	kowa(i)	こわ(い)	frightening, dreadful	1814
680	KON	コン	ne	ね	root, origin	314
681	KON	コン	ma(zeru), ma(zaru), ma(jiru)	ま(ぜる), ま(ざる), ま(じる)	mix, blend	799
682	SHUU, JU	シュウ, ジュ	tsu(ku), tsu(keru)	つ(く), つ(ける)	engage, employ	934
683	SHOKU	ショク			employment, job	385
684	DAN	ダン			conversation	593
685	SETSU	セツ	tsu(gu)	つ(ぐ)	touch, contact, join	486
686	SEN	セン	moppa(ra)	もっぱ(ら)	entirely, exclusively	600
687	KOU	コウ	se(meru)	せ(める)	attack, assault	819
688	SHIN	シン	mou(su)	もう(す)	say, be called	309
689	DOU	ドウ	hatara(ku)	はたら(く)	work, labor	232
690	FU	フ	tsu(ku), tsu(keru)	つ(く), つ(ける)	attach, append	192
691	JO	ジョ	tasu(keru), tasu(karu)	たす(ける), たす(かる)	help, assist, rescue	623
692	REN	レン	tsu(reru), tsura(neru), tsura(naru)	つ(れる), つら(ねる), つら(なる)	group, take, line up	440
693	SA	サ			investigate	624
694	SA, SHA	サ, シャ	suna	すな	sand	1151
695	SAI, SA	サイ, サ	futata(bi)	ふたた(び)	once more, again	782
696	ZA	ザ	suwa(ru)	すわ(る)	sit, seat	786
697	SAI	サイ			talent, genius	551
698	SAI	サイ	matsu(ru), matsu(ri)	まつ(る), まつ(り)	deify, worship, festival	617
699	SAI	サイ	motto(mo)	もっと(も)	most, extreme	263
700	SAI	サイ	tsuma	つま	wife	671
701	SAI	サイ	to(ru)	と(る)	take on, pick, gather	933
702	SAI	サイ	su(mu), su(masu)	す(む), す(ます)	finish, settle	549
703	SAI, SEI	サイ, セイ			year, age	479
704	ZAI, SAI	ザイ, サイ			wealth, property	553
705	ZAI	ザイ	tsumi	つみ	sin, crime, guilt	885
706	HAN	ハン	saka	さか	slope, hill	443
707	SHU	シュ	sake, saka	さけ, さか	sake, alcohol	517
708	SOU	ソウ	saga(su)	さが(す)	search, look for	989
709	HAI	ハイ	sakazuki	さかずき	sake cup	1155
710			sa(ku)	さ(く)	bloom	927
711	SATSU, SAKU	サツ, サク			book, volume	1158
712	SHI	シ	sasa(eru)	ささ(える)	branch, support	318
713	SHI	シ	sa(su), sa(saru)	さ(す), さ(さる)	stab, stick	881
714	SHI	シ	yubi, sa(su)	ゆび, さ(す)	finger, point	1041
715	SATSU	サツ	fuda	ふだ	paper money, card, label	1157
716	SATSU	サツ	su(ru)	す(る)	print	1044
717	SATSU	サツ			surmise, guess, understand	619
718	YOU	ヨウ	sama	さま	condition, Mr., Ms.	403
719	REI	レイ	tsume(tai), sa(meru), sa(masu), hi(eru), hi(yasu)	つめ(たい), さ(める), さ(ます), ひ(える), ひ(やす)	cold	832
720			sara	さら	plate, dish	1097
721	MEI	メイ	mayo(u)	まよ(う)	lose, go astray, vacillate	967
722	WAKU	ワク	mado(u)	まど(う)	perplex, tempt	969
723	KU	ク			phrase, verse	337
724	ZEN	ゼン	matta(ku), sube(te)	まった(く), すべ(て)	all, entire, whole	89
725	ZEN, NEN	ゼン, ネン			as, like, so	651
726	SHUU, JUU	シュウ, ジュウ	hiro(u)	ひろ(う)	pick up, find, gather	1445
727	SHA	シャ	su(teru)	す(てる)	throw away, abandon	1444
728	ZAN	ザン	noko(ru), noko(su)	のこ(る), のこ(す)	remain, leave	650
729	SAN	サン	chi(ru), chi(rasu), chi(rakaru), chi(rakasu)	ち(る), ち(らす), ち(らかる), ち(らかす)	scatter, disperse	767
730	CHUU	チュウ	naka	なか	relationship	1347
731	SHOKU	ショク	sawa(ru), fu(reru)	さわ(る), ふ(れる)	touch, feel	874
732	SAN	サン	soro	そろ	calculate	747
733	SAN	サン	mai(ru)	まい(る)	come, go, visit	710
734	SAN	サン			praise, approve	745
735	JI, SHI	ジ, シ	tsugi, tsu(gu)	つぎ, つ(ぐ)	next	384
736	CHOKU, JIKI	チョク, ジキ	nao(su), nao(ru), tada(chi ni)	なお(す), なお(る), ただ(ち に)	direct, fix, immediately	423
737	SHI	シ	ha	は	tooth	478
738	SHI	シ			history	332
739	JI, SHI	ジ, シ	shime(su)	しめ(す)	show, indicate	615
740	SHI	シ			teacher, army	409
741	SHI	シ			resources, funds, capital	750
742	SHI	シ			words	843
743	RO	ロ	ji	じ	road, street	151
744	JI	ジ	tera	てら	temple	41
745	JI, NI	ジ, ニ			child, infant	1217
746	JI	ジ	ni(ru)	に(る)	resemble, similar	1486
747	JO, JI	ジョ, ジ	nozo(ku)	のぞ(く)	remove, exclude	1065
748	KAN	カン	wa	わ	ring, surround	865
749	HI	ヒ	to(bu), to(basu)	と(ぶ), と(ばす)	fly	530
750	TETSU	テツ	kurogane	くろがね	iron	312
