learned	on'yomi	on'yomi kana	kun'yomi	kun'yomi kana	meaning	ref_sh_kk
751	SAI	サイ	wazawa(i)	わざわ(い)	misfortune, disaster	1335
752	RYUU, RU	リュウ, ル	naga(reru), naga(su)	なが(れる), なが(す)	flow, current	247
753	SHU, SU	シュ, ス	mamo(ru), mori	まも(る), もり	protect, defend, obey	490
754	SHOU	ショウ			commander, general	627
755	ZOU	ゾウ	ma(su), fu(eru), fu(yasu)	ま(す), ふ(える), ふ(やす)	increase, rise	712
756	SHIKI	シキ			know, discriminate	681
757	TEKI	テキ	shizuku, shitata(ru)	しずく, したた(る)	drop, trickle	1446
758	CHIN	チン	shizu(mu), shizu(meru)	しず(む), しず(める)	sink	936
759	SHITSU	シツ	shime(ru), shime(su)	しめ(る), しめ(す)	dampen, moisten	1169
760	JITSU	ジツ	mi, mino(ru)	み, みの(る)	true, real, fruit, nut	203
761	TOU	トウ	shima	しま	island	286
762	SEKI, SHAKU	セキ, シャク	mukashi	むかし	antiquity, long ago	764
763	JAKU, NYAKU	ジャク, ニャク	waka(i), mo(shikuwa)	わか(い), も(しくわ)	young	544
764	SHU	シュ	tane	たね	kind, type, seed	228
765	SHUU	シュウ	su	す	state, province, sandbank	195
766	SHUU	シュウ	mawa(ri)	まわ(り)	lap, circumference, surroundings	91
767	SEN	セン	fune, funa	ふね, ふな	ship, boat	376
768	JUU, NYUU	ジュウ, ニュウ	yawa(rakai)	やわ(らかい)	soft, tender	774
769	JUTSU	ジュツ	no(beru)	の(べる)	state, mention, explain	968
770	JUTSU	ジュツ			art, technique, means	187
771	JUN	ジュン			order, turn, obey	769
772	JUN	ジュン			semi-, quasi-, correspond	778
773	JUN	ジュン			pure	965
774	SHO	ショ			deal with, manage, condemn	1137
775	SHO	ショ			government office	860
776	SHO	ショ			all, many, various	861
777	SHOU	ショウ			chapter, badge	857
778	SEI, JOU	セイ, ジョウ	na(ru), na(su)	な(る), な(す)	become, grow, consist	261
779	ZETSU	ゼツ	ta(eru), ta(yasu), ta(tsu)	た(える), た(やす), た(つ)	cut off, cease	742
780	TAI, TSUI	タイ, ツイ			against, pair	365
781	NOU	ノウ			ability, capacity	386
782	SOKU	ソク	haya(i), haya(meru), sumi(yaka)	はや(い), はや(める), すみ(やか)	fast, quick	502
783	RUI	ルイ			kind, sort, variety	226
784	KEN	ケン	suko(yaka)	すこ(やか)	health, strength	893
785	KOU	コウ			peace, ease	894
786	SON	ソン	tatto(i), tatto(bu), touto(i), touto(bu)	たっと(い), たっと(ぶ), とうと(い), とうと(ぶ)	respect, precious, honor	704
787	SEI, SHOU	セイ, ショウ			spirit, soul, energy	659
788	TOU	トウ	na(geru)	な(げる)	throw, abandon	1021
789	KYOU	キョウ	odoro(ku), odoro(kasu)	おどろ(く), おどろ(かす)	surprise, amaze	1778
790	SEKI	セキ			seat, place	379
791	HAN	ハン			general, kind	1096
792	HAI	ハイ			fellow, colleague	1037
793	TEKI	テキ	mato	まと	target, mark, object	210
794	SHOU, ZOU	ショウ, ゾウ			image, elephant	739
795	SHOU	ショウ	te(ru), te(rasu), te(reru)	て(る), て(らす), て(れる)	shine, illuminate	998
796	SHA	シャ	ayama(ru)	あやま(る)	apologize, thank	901
797	SHOU	ショウ			prize, praise, reward	500
798	SEI, SHOU	セイ, ショウ			nature, sex	98
799	SOU, SHOU	ソウ, ショウ	yosoo(u)	よそお(う)	dress, pretend	1328
800	SHOU	ショウ	me(su)	め(す)	summon, eat, drink, wear	995
801	SHOU	ショウ	toko, yuka	とこ, ゆか	floor, bed	826
802	SHOU	ショウ	nobo(ru)	のぼ(る)	rise, promote	1777
803	SHOU	ショウ			introduce	456
804	SEI, SHOU	セイ, ショウ	hoshi	ほし	star	730
805	SEI, SHOU	セイ, ショウ	matsurigoto	まつりごと	politics, government	483
806	JOU	ジョウ			condition, letter	626
807	JOU	ジョウ	tsune, toko	つね, とこ	usual, normal, always	497
808	JOU, SEI	ジョウ, セイ	nasa(ke)	なさ(け)	emotion, circumstances	209
809	JOU	ジョウ	shiro	しろ	castle	720
810	JOU	ジョウ	mu(su), mu(reru), mu(rasu)	む(す), む(れる), む(らす)	steam, sultry	943
811	ZOKU	ゾク	tsutzu(ku), tsutzu(keru)	つづ(く), つづ(ける)	continue	243
812	HAI	ハイ	yabu(reru)	やぶ(れる)	lose, defeated	511
813	KOU, KU	コウ, ク			merits, success	818
814	SHIN	シン			believe, trust, faith	157
815	HI	ヒ	tsui(yasu), tsui(eru)	つい(やす), つい(える)	spend, waste	749
816	RYOU	リョウ	haka(ru)	はか(る)	quantity, measure, weigh	411
817	TAI	タイ	fukuro	ふくろ	bag, sack	1329
818	TOU	トウ	yu	ゆ	hot water, bath	632
819	DAN	ダン			step, rank	362
820	RETSU	レツ			line, row	611
821	TOU	トウ	su(beru)	す(べる)	govern, link	830
822	JOU	ジョウ	tatami, tata(mu)	たたみ, たた(む)	tatami, fold	1087
823	TAI	タイ	shirizo(ku), shirizo(keru)	しりぞ(く), しりぞ(ける)	retreat	846
824	SHIN	シン	mi	み	body, self	59
825	SHIN	シン	fuka(i), fuka(meru), fuka(maru)	ふか(い), ふか(める), ふか(まる)	deep	536
826	SHIN, JIN	シン, ジン			subject, retainer	835
827	SHIN	シン	hari	はり	needle	341
828	SHIN	シン	no(biru), no(basu)	の(びる), の(ばす)	stretch, lengthen, extend	1108
829	GEKI	ゲキ	hage(shii)	はげ(しい)	violent, fierce, intense	1017
830	SHIN	シン	furu(u), furu(eru)	ふる(う), ふる(える)	tremble, shake	953
831	SUI	スイ	fu(ku)	ふ(く)	blow	1255
832	YUU	ユウ	sugu(reru), yasa(shii)	すぐ(れる), やさ(しい)	kind, gentle, excel	1033
833	TAN	タン	sumi	すみ	coal	1344
834	HAI	ハイ	se, sei, somu(ku), somu(keru)	せ, せい, そむ(く), そむ(ける)	back, height	1265
835	SEI	セイ			system, control	427
836	SEI	セイ			make, produce, manufacture	428
837	ZEI	ゼイ			tax	399
838	SEKI	セキ	tsu(mu), tsu(moru), tsu(mori)	つ(む), つ(もる), つ(もり)	pile, heap, accumulate	656
839	SEKI	セキ	se(meru)	せ(める)	duty, blame, torture	655
840	SEKI	セキ			achievements	1117
841	SEKI	セキ			one (of a pair), (counter for boats)	1311
842	SEKI	セキ			register, membership	1198
843	SETSU	セツ	mou(keru)	もう(ける)	set up, prepare, establish	577
844	SEN	セン			line	299
845	SO	ソ			ancestor	622
846	SOU, SO	ソウ, ソ			idea, thought	147
847	SOU	ソウ			general, total	697
848	SOU	ソウ	mado	まど	window	698
849	SOU	ソウ			layer, stratum	1367
850	SOU	ソウ	futa	ふた	pair, both	1594
851	SOU	ソウ	ha(ku)	は(く)	sweep	1080
852	SOU	ソウ			dry up, parch	1656
853	ZOU	ゾウ	tsuku(ru)	つく(る)	make, produce, build	691
854	ZOU	ゾウ			image, picture, statue	740
855	ZOU	ゾウ			viscera	1287
856	ZOU	ゾウ	niku(mu), niku(i), niku(rashii), niku(shimi)	にく(む), にく(い), にく(らしい), にく(しみ)	hate	1365
857	SOKU	ソク	taba	たば	bundle, sheaf	501
858	SOKU	ソク			rule, law	608
859	SOKU	ソク	haka(ru)	はか(る)	measure	610
860	TEI	テイ	soko	そこ	bottom	562
861	SON	ソン	soko(nau), soko(neru)	そこ(なう), そこ(ねる)	loss, damage	350
862	SOTSU, RITSU	ソツ, リツ	hiki(iru)	ひき(いる)	rate, proportion, lead	788
863	BI	ビ	sona(eru), sona(waru)	そな(える), そな(わる)	provide, possess	768
864	HAN, HON, TAN	ハン, ホン, タン	so(ru), so(rasu)	そ(る), そ(らす)	anti-, against	324
865	SON	ソン	mago	まご	grandchild	910
866	SON, ZON	ソン, ゾン			exist, know	269
867	DAI	ダイ			#, rank	404
868	HEI, BYOU	ヘイ, ビョウ	tai(ra), hira	たい(ら), ひら	flat, level	202
869	TOU	トウ	tao(reru), tao(su)	たお(れる), たお(す)	fall, collapse, topple	905
870	HOU	ホウ	takara	たから	treasure	296
871	TAKU	タク			home, residence	178
872	TAKU	タク			wash, rinse	1561
873	CHIKU	チク	take	たけ	bamboo	129
874	REI	レイ	tato(eru)	たと(える)	example, custom	612
875	RAN	ラン	tamago	たまご	egg	1058
876	TAN	タン			single, simple	300
877	NYUU	ニュウ	chichi, chi	ちち, ち	milk, breast	939
878	CHI	チ	haji, ha(jiru), ha(jirau), ha(zukashii)	はじ, は(じる), は(じらう), は(ずかしい)	shame, disgrace, shy	1690
879	CHIKU	チク			livestock	1223
880	CHUU	チュウ	mushi	むし	insect, bug	873
881	CHUU	チュウ	hashira	はしら	pillar, column, pole	598
882	CHUU	チュウ			midair, space	991
883	CHUU	チュウ			stop, reside	599
884	CHO	チョ			save, store	762
885	CHOU	チョウ			government office	763
886	CHIN	チン	mezura(shii)	めずら(しい)	rare	1215
887	HO	ホ	to(ru), to(raeru), to(rawareru), tsuka(maru), tsuka(maeru)	と(る), と(らえる), と(らわれる), つか(まる), つか(まえる)	catch, arrest	890
888	HI	ヒ	tsuka(reru), tsuka(rasu)	つか(れる), つか(らす)	tire, fatigue	1321
889	TOTSU	トツ	tsu(ku)	つ(く)	thrust, poke	898
890	DO	ド	tsuto(meru)	つと(める)	exert, strive	1595
891	MU	ム	tsuto(meru)	つと(める)	duties	235
892	BO	ボ	tsuno(ru)	つの(る)	raise, invite	1430
893	RYUU	リュウ	tsubu	つぶ	grain	1700
894	TEI	テイ	niwa	にわ	garden	1112
895	TEI	テイ			stop, halt	1185
896	TEI	テイ	hodo	ほど	degree, extent	417
897	DEI	デイ	doro	どろ	mud	1621
898	TEKI	テキ			fit, suitable	415
899	DEN, TEN	デン, テン	tono, dono	との, どの	palace, lord	1130
900	TOU, TO	トウ, ト	nobo(ru)	のぼ(る)	climb	960
901	TO	ト			party, vain, useless	430
902	TO	ト			way, road	1072
903	TO	ト	nu(ru)	ぬ(る)	coat, paint	1073
904	TOU	トウ	hito(shii)	ひと(しい)	equal, class	569
905	TOU	トウ	hi	ひ	lamp, light	1333
906	TOU	トウ			party, faction	495
907	TOU	トウ			arrive, reach	904
908	TOU	トウ	ni(geru), ni(gasu), noga(su), noga(reru)	に(げる), に(がす), のが(す), のが(れる)	escape, flee	1566
909	TOU	トウ	nusu(mu)	ぬす(む)	steal	1100
910	TOU	トウ	tsutsu	つつ	pipe, tube	1472
911	TOU	トウ			tower	1840
912	DOU	ドウ	warabe	わらべ	child	410
913	DOU	ドウ			copper	1605
914	DOU	ドウ	michibi(ku)	みちび(く)	lead, guide	703
915	YOU	ヨウ	to(ku), to(keru), to(kasu)	と(く), と(ける), と(かす)	melt, dissolve	1392
916	DOKU	ドク			poison	522
917	DOKU	ドク	hito(ri)	ひと(り)	alone, Germany	219
918			todo(ku), todo(keru)	とど(く), とど(ける)	reach, arrive, deliver	992
919	FU, FUU	フ, フウ	tomi, to(mu)	とみ, と(む)	rich, wealth	713
920	DON	ドン	nibu(i), nibu(ru)	にぶ(い), にぶ(る)	dull, blunt, sluggish	966
921	MU, BU	ム, ブ	na(i)	な(い)	without, nothing	93
922	BOU, MOU	ボウ, モウ	na(i)	な(い)	die, dead	672
923	MEI	メイ	na(ku), na(ru), na(rasu)	な(く), な(る), な(らす)	(animal) sound, ring	925
924	HA	ハ	nami	なみ	wave	666
925	HEI	ヘイ	nami, nara(bu), nara(beru), nara(bi ni)	なみ, なら(ぶ), なら(べる), なら(び に)	line up, arrange, average	1165
926	RUI	ルイ	namida	なみだ	tears	1239
927	NOU	ノウ	naya(mu), naya(masu)	なや(む), なや(ます)	suffer, worry	1279
928	NAN	ナン	yawa(raka), yawa(rakai)	やわ(らか), やわ(らかい)	soft	1788
929	NIN	ニン	maka(su), maka(seru)	まか(す), まか(せる)	office, entrust	334
930	NIN	ニン	mito(meru)	みと(める)	recognize, approve	738
931	BATSU	バツ	nu(ku), nu(keru), nu(karu), nu(kasu)	ぬ(く), ぬ(ける), ぬ(かる), ぬ(かす)	pull out, omit, surpass	1713
932	FU	フ			cloth	675
933	MIN	ミン	nemu(i), nemu(ru)	ねむ(い), ねむ(る)	sleep, sleepy	849
934	NEN	ネン			thought, desire, attention	579
935	NEN	ネン	mo(eru), mo(yasu), mo(su)	も(える), も(やす), も(す)	burn	652
936	NOU	ノウ			farming, agriculture	369
937	BOU, MOU	ボウ, モウ	nozo(mu)	のぞ(む)	hope, desire, expect	673
938	HA	ハ	yabu(ru), yabu(reru)	やぶ(る), やぶ(れる)	tear, break	665
939	BAI	バイ			times, double	87
940	BAKU	バク	mugi	むぎ	wheat, barley	270
941	BAKU	バク			explode	1015
942	SOU	ソウ	hako	はこ	box	1091
943			hata, hatake	はた, はたけ	field, farm	36
944			hada	はだ	skin, temperament	1306
945	BI	ビ	hana	はな	nose	813
946	HOU	ホウ	hana(su), hana(tsu), hana(reru)	はな(す), はな(つ), はな(れる)	let go, release	512
947	FUKU	フク	haba	はば	width, breadth	1380
948	RIN	リン	hayashi	はやし	woods, grove	127
949	FUKU	フク	hara	はら	belly, stomach, mind	1271
950	HAN, BAN	ハン, バン			judge, stamp, seal	1026
951	HAN	ハン			printing, edition	1046
952	HAN	ハン			sell	1048
953	BAN	バン			evening, night	736
954	HI	ヒ			non-, un-, wrong	498
955	HITSU	ヒツ	hiki	ひき	equal, comparable, (counter for small animals)	1500
956	HITSU	ヒツ	fude	ふで	brush, writing	130
957	HEI, HYOU	ヘイ, ヒョウ			soldier	784
958	BYOU	ビョウ			second	1152
959	HIN, BIN	ヒン, ビン	mazu(shii)	まず(しい)	poor	753
960	BIN	ビン			bottle, jar	1161
961	FU	フ			prefecture, government office	504
962	FU	フ			woman, wife, lady	316
963	FU	フ			sign, mark, charm	505
964	FU	フ			general, universal	1166
965	FU	フ			skin	1269
966	BU, MU	ブ, ム			military	1031
967	BU	ブ	ma(u), mai	ま(う), まい	dance, flutter	810
968	FUU, HOU	フウ, ホウ			seal	1463
969	FUKU	フク			fortune, blessing	1379
970	FUKU	フク			secondary, duplicate	714
971	FUKU	フク			return, restore	917
972	FUKU	フク			compound, double	916
973	BOU	ボウ	fuse(gu)	ふせ(ぐ)	prevent, protect	513
974	FUTSU	フツ	wa(ku), wa(kasu)	わ(く), わ(かす)	boil, seethe	1792
975	BUTSU	ブツ	hotoke	ほとけ	Buddha, France	583
976	HOU	ホウ	muku(iru)	むく(いる)	news, report, reward	685
977	HOU	ホウ	yuta(ka)	ゆた(か)	rich, abundant	959
978	BOU	ボウ			trade	760
979	BOU	ボウ			stick, pole, rod	1543
980	BOU, BOtsu	ボウ, ボツ			boy, priest	1858
981	BOU	ボウ			hat, cap	1105
982	MA	マ	miga(ku)	みが(く)	polish, brush	1531
983	MAI	マイ			(counter for thin, flat objects)	1156
984	MAN	マン	mi(chiru), mi(tasu)	み(ちる), み(たす)	full	201
985	MI	ミ			not yet	306
986	RAN	ラン	mida(reru), mida(su)	みだ(れる), みだ(す)	rebellion, disorder	689
987	MU	ム	yume	ゆめ	dream	811
988			musume	むすめ	daughter, girl	1752
989	MEN	メン	wata	わた	cotton	1191
990	REI	レイ	modo(ru), modo(su)	もど(る), もど(す)	return, restore	1238
991	YU, YUU, YUI	ユ, ユウ, ユイ	yoshi	よし	reason, cause, significance	363
992	YU	ユ			transport	546
993	RYOU	リョウ	yo(i)	よ(い)	good	321
994	YOU	ヨウ			sun, positive	630
995	YOU	ヨウ			appearance, content	654
996	YOKU	ヨク			next, following	592
997	RYAKU	リャク			abbreviation, omission	841
998	RIKU	リク			land	647
999	RITSU, RICHI	リツ, リチ			law, regulation, rhythm	667
1000	RYOU	リョウ			territory, rule	834
1001	RYOU	リョウ			finish, understand	941
1002	RYOU	リョウ			treat, cure	1322
1003	RIN	リン	wa	わ	wheel, ring, circle	1164
1004	REI	レイ			order, command	831
1005	REI	レイ			zero	1823
1006	REI	レイ			age	833
1007	REKI	レキ			continuation, passage of time	480
1008	ROU	ロウ			labor, toil	233
1009	ROKU	ロク			record	538
1010	RON	ロン			theory, discussion, argument	293
1011	WAN	ワン			bay	670
1012	TA	タ	hoka	ほか	other, another	120
1013	DAN, TON	ダン, トン			group, association	491
1014	SHUU	シュウ	fune, funa	ふね, ふな	ship, boat	1094
1015	UN	ウン	kumo	くも	cloud	636
1016	KYO	キョ			big, gigantic	1293
1017	KI	キ			steam	135
1018	KYUU	キュウ	yumi	ゆみ	bow	212
1019	SHI	シ	ya	や	arrow	213
1020	TOU	トウ	katana	かたな	sword, knife	37
1021	RI	リ	sato	さと	village, parents' house	142
1022	KYUU, GUU, KU	キュウ, グウ, ク	miya	みや	shrine, palace	721
1023	SHOU	ショウ			bright, shine, clear	997
1024	SEI	セイ	totono(eru), totono(u)	ととの(える), ととの(う)	arrange, prepare	503
1025	TOU, ZU	トウ, ズ	mame	まめ	bean, pea	958
1026	CHOU	チョウ			notebook	1107
1027	TEKI	テキ	fue	ふえ	flute, whistle	1471
1028	CHOU, TEI	チョウ, テイ			even number, (quantifier)	184
1029	AN	アン			idea, plan, proposal	106
1030	GAI, KAI	ガイ, カイ	machi	まち	town, street	186
1031	GA	ガ	me	め	bud, sprout, germ	1455
1032	KEI	ケイ			path, diameter	1475
1033	GUN	グン			county, district	193
1034	KYO	キョ	a(geru), a(garu)	あ(げる), あ(がる)	arrest, enumerate	801
1035	GYO, RYOU	ギョ, リョウ	asa(ru)	あさ(る)	fishing	699
1036	KI	キ			narrative, history, period	372
1037	KI	キ	hata	はた	flag, banner	1006
1038	SHI	シ			gentleman, samurai	572
1039	SHI	シ			administer, direct, rule	842
1040	SHOU	ショウ	tona(eru)	とな(える)	chant, recite, advocate	1646
1041	SHOU	ショウ	matsu	まつ	pine	696
1042	TAI	タイ			party, squad, unit	795
1043	SOU	ソウ	su	す	nest, hive, den, cobweb	1538
1044	SOU	ソウ	kura	くら	warehouse, storehouse	1307
1045	CHOU	チョウ	harawata	はらわた	intestines, entrails	1270
1046	TEN	テン			law, code, ceremony	367
1047	BOKU	ボク	maki	まき	pasture	731
1048	HYOU	ヒョウ			sign, mark	923
1049	HYOU	ヒョウ			vote, ballot	922
1050	HAKU, BAKU	ハク, バク			extensive, broad	601
1051	YOU	ヨウ	yashina(u)	やしな(う)	rear, foster, develop	402
1052	MYAKU	ミャク			pulse, vein, hope	913
1053	KI	キ	moto, motoi	もと, もとい	foundation, basis	450
1054	GAN, GEN	ガン, ゲン	manako	まなこ	eye, eyeball	848
1055	KAN	カン	miki	みき	trunk, main	1189
1056	EI	エイ			defend, protect	815
1057	EKI, YAKU	エキ, ヤク	ma(su)	ま(す)	profit, gain, advantage	716
1058	OU	オウ			go, travel	918
1059	OU	オウ	kota(eru)	こた(える)	answer, reply, comply	827
1060	ON	オン			favor, kindness, gratitude	555
1061	KA, KE	カ, ケ	kari	かり	temporary, provisional, interim	1049
1062	KA	カ	atai	あたい	price, value	421
1063	GA	ガ			congratulations	756
1064	KO	コ	yue	ゆえ	reason, cause, circumstances	173
1065	KETSU	ケツ	isagiyo(i)	いさぎよ(い)	clean, pure, righteous	1241
1066	KYOU, KOU	キョウ, コウ	oko(ru), oko(su)	おこ(る), おこ(す)	interest, entertain, retrieve	368
1067	SHI	シ	ka(u)	か(う)	raise, keep, feed	1762
1068	SAN	サン	su(i)	す(い)	acid, sour	516
1069	OU	オウ	sakura	さくら	cherry tree	928
1070	GO	ゴ	mamo(ru)	まも(る)	defend, protect	1312
1071	JOU	ジョウ			article, clause, streak	564
1072	SHIKI, SHOKU	シキ, ショク	o(ru)	お(る)	weave, fabric	680
1073	JO	ジョ	tsui(de)	つい(で)	beginning, preface, order	770
1074	SHOU	ショウ	akashi	あかし	proof, evidence, certificate	484
1075	SHUU, SHU	シュウ, シュ	osa(meru), osa(maru)	おさ(める), おさ(まる)	study, master, discipline	945
1076	SHA	シャ			house, hut	791
1077	TAI	タイ	waza(to)	わざ(と)	condition, appearance	387
1078	ZOKU	ゾク			genus, belong	1637
1079	SO, SU	ソ, ス			element, naked	271
1080	GEN, GON	ゲン, ゴン	kibi(shii), ogoso(ka)	きび(しい), おごそ(か)	strict, severe, solemn	822
1081	ZETSU	ゼツ	shita	した	tongue	1259
1082	SEN	セン	zeni	ぜに	money	648
1083	TOKU	トク			virtue, benevolence	1038
1084	CHOU	チョウ	ha(ru)	は(る)	stretch, spread	1106
1085	TEI	テイ	sa(geru)	さ(げる)	carry, propose	628
1086	TEKI	テキ	kataki	かたき	enemy, foe, opponent	416
1087	BO	ボ	haka	はか	grave, tomb	1429
1088	BEN	ベン			dialect, discrimination, petal, valve	711
1089	HO	ホ	tamo(tsu)	たも(つ)	keep, preserve, maintain	489
1090	HI	ヒ	koe, ko(eru), ko(yasu), ko(yashi)	こえ, こ(える), こ(やす), こ(やし)	fertile, manure	1723
1091	HYOU	ヒョウ	tawara	たわら	bag, sack, bale	1890
1092	HYOU	ヒョウ			comment, criticism	1028
1093	I, YUI	イ, ユイ			bequeath, leave behind	1172
1094			kabu	かぶ	share, stock, stump	741
1095	KAN	カン			see, watch over	1316
1096	KAKU	カク	hiro(geru)	ひろ(げる)	expand, extend, enlarge	1113
1097	KAKU	カク			tower, palace, cabinet	837
1098	EN	エン	so(u)	そ(う)	lie along, run parallel	1607
1099	GA	ガ	ware, wa	われ, わ	I, self, ego	1302
1100	KO, KI	コ, キ	onore	おのれ	self	370
1101	KEI	ケイ			system, lineage	908
1102	KETSU	ケツ	ana	あな	hole, slit, cave	899
1103	KEN	ケン			law, constitution	521
1104	KEN	ケン	kinu	きぬ	silk	1261
1105	GEN	ゲン	minamoto	みなもと	source, origin	580
1106	KIN	キン	suji	すじ	muscle, fiber, logic, plot	1090
1107	KYOU, GOU	キョウ, ゴウ			hometown, village, country	855
1108	KI	キ	tatto(i), tatto(bu), touto(i), touto(bu)	たっと(い), たっと(ぶ), とうと(い), とうと(ぶ)	value, precious, esteem	1171
1109	KI	キ			shake, brandish	1652
1110	SHI	シ	mi(ru)	み(る)	see, look, regard	606
1111	JI	ジ			magnet, porcelain	1548
1112	SHI	シ	ita(ru)	いた(る)	arrive, reach, lead to	902
1113	SHI	シ	sugata	すがた	figure, form, shape	929
1114	SAN	サン	kaiko	かいこ	silkworm	1877
1115	SAI	サイ	saba(ku), ta(tsu)	さば(く), た(つ)	judge, cut out	1123
1116	SAKU	サク			plan, means, policy	880
1117	KOU	コウ	hagane	はがね	steel	1608
1118	KOKU	コク			grain, cereals	1729
1119	KOU, OU	コウ, オウ			emperor	297
1120	KOU	コウ	kisaki	きさき	empress, queen	1119
1121	KOU	コウ			filial piety	542
1122	SUI	スイ	dare	だれ	who, someone (--)
1123	SUI	スイ	o(su)	お(す)	infer, suppose, recommend	1233
1124	JIN, NI	ジン, ニ			virtue, benevolence, charity	1619
1125	SHOU	ショウ	kizu, ita(mu), ita(meru)	きず, いた(む), いた(める)	wound, injure, hurt	633
1126	SHOU	ショウ	sawa(ru)	さわ(る)	hinder, harm, hurt	858
1127	SHUKU	シュク	chiji(mu), chiji(meru), chiji(maru), chiji(reru), chiji(rasu)	ちじ(む), ちじ(める), ちじ(まる), ちじ(れる), ちじ(らす)	shrink, shorten	1110
1128	JUKU	ジュク	u(reru)	う(れる)	ripen, mature	687
1129	SHUU, SHU	シュウ, シュ			multitude, populace	792
1130	JUU, JU, SHOU	ジュウ, ジュ, ショウ	shitaga(u), shitaga(eru)	したが(う), したが(える)	accompany, follow, obey	1482
1131	JUU	ジュウ	tate	たて	height, length, vertical	1483
1132	JU	ジュ			tree	1144
1133	SHUU, SOU	シュウ, ソウ			religion, sect	616
1134	SHA	シャ	i(ru)	い(る)	shoot	900
1135	SHAKU	シャク			length, measure	1895
1136	SOU	ソウ	tsuku(ru)	つく(る)	create	1308
1137	SOU	ソウ	kana(deru)	かな(でる)	play (music)	1544
1138	SEN	セン			announce, proclaim	625
1139	SEN	セン	so(meru), so(maru), shi(miru), shi(mi)	そ(める), そ(まる), し(みる), し(み)	dye, color, stain	779
1140	ZEN	ゼン	yo(i)	よ(い)	good, virtue	1139
1141	SEI, SHOU	セイ, ショウ	saka(n), saka(ru), mo(ru)	さか(ん), さか(る), も(る)	prosper, flourish, serve	719
1142	SEI	セイ			holy, sacred, sage	674
1143	IN, ON	イン, オン	kaku(su), kaku(reru)	かく(す), かく(れる)	hide, conceal	868
1144	SHOKU	ショク	kaza(ru)	かざ(る)	decorate, adorn	979
1145	SEI	セイ	makoto	まこと	sincerity, truth	718
